Fecha,Hora,Latitud,Longitud,Profundidad,Magnitud,,,,,,,
25/06/2014,00:50:10,19.27,-69.804,28.03,2.82,,,,,,,
21/08/2014,06:14:30,19.2681,-70.12,70.72,2.53,,,,,,,
24/02/2014,08:21:09,19.2608,-71.141,42.48,3.54,,,,,,,
07/02/2014,01:54:57,19.2595,-70.773,42.06,2.43,,,,,,,
15/04/2014,17:11:31,19.2522,-70.072,10.1,3.11,,,,,,,
28/01/2014,03:29:50,19.2477,-69.835,95.81,2.55,,,,,,,
15/07/2014,14:51:03,19.2456,-68.311,100.67,3.43,,,,,,,
27/11/2014,17:15:00,19.2403,-70.0156,7.48,3.03,,,,,,,
12/02/2014,01:27:20,19.2385,-69.062,100.3,3.59,,,,,,,
09/08/2014,00:33:34,19.2318,-70.347,9.93,3.07,,,,,,,
07/02/2014,13:37:46,19.2207,-68.213,7.78,3.41,,,,,,,
22/10/2014,10:06:00,19.2168,-69.9075,17.86,3.28,,,,,,,
06/03/2014,21:56:48,19.2147,-67.878,34.86,4.96,,,,,,,
19/01/2014,04:03:45,19.2128,-70.487,44.65,2.86,,,,,,,
16/10/2014,12:38:00,19.2126,-68.4261,5,3.28,,,,,,,
08/12/2014,05:49:00,19.2103,-68.9828,20,3.35,,,,,,,
12/06/2014,02:04:41,19.2093,-70.04,8.41,1.86,,,,,,,
12/02/2014,01:24:20,19.2092,-70.117,58.92,2.99,,,,,,,
13/03/2014,17:42:07,19.2067,-69.335,57.52,3.25,,,,,,,
17/02/2014,19:33:46,19.206,-72.353,13.73,3,,,,,,,
01/01/2014,02:14:14,19.205,-68.253,3.36,3.29,,,,,,,
